
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.30
8                      19.99
16                     20.56
32                     20.43
64                     20.18
128                    40.69
256                    41.12
512                    41.76
1024                   42.86
2048                   44.12
4096                   44.59
8192                   46.07
16384                  53.59
32768                  65.41
65536                  81.98
131072                134.07
262144                196.11
524288                344.88
1048576               647.69
