
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.25
8                      20.10
16                     19.98
32                     20.02
64                     20.09
128                    40.63
256                    41.28
512                    42.03
1024                   43.12
2048                   43.69
4096                   44.75
8192                   46.08
16384                  53.28
32768                  64.77
65536                  82.22
131072                133.27
262144                195.68
524288                346.72
1048576               645.07
