
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.25
8                      20.10
16                     20.02
32                     19.99
64                     20.19
128                    40.57
256                    41.24
512                    41.77
1024                   42.82
2048                   43.60
4096                   44.65
8192                   46.38
16384                  53.50
32768                  65.14
65536                  81.32
131072                133.85
262144                197.26
524288                344.90
1048576               650.26
