
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.19
8                      19.91
16                     20.09
32                     20.06
64                     20.10
128                    40.63
256                    41.29
512                    41.90
1024                   42.98
2048                   43.60
4096                   44.74
8192                   46.18
16384                  53.78
32768                  65.12
65536                  81.40
131072                132.65
262144                196.25
524288                345.73
1048576               646.89
