
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.32
8                      20.21
16                     20.01
32                     19.98
64                     20.29
128                    40.59
256                    41.42
512                    41.95
1024                   43.53
2048                   43.79
4096                   44.89
8192                   46.18
16384                  53.58
32768                  65.25
65536                  81.89
131072                135.15
262144                197.57
524288                344.73
1048576               647.03
