
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.22
8                      19.93
16                     20.17
32                     19.97
64                     20.02
128                    40.45
256                    41.18
512                    41.84
1024                   42.93
2048                   43.84
4096                   44.69
8192                   46.19
16384                  53.57
32768                  65.10
65536                  81.99
131072                133.40
262144                198.53
524288                343.27
1048576               653.02
