
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.25
8                      20.04
16                     19.90
32                     20.13
64                     20.23
128                    40.61
256                    41.28
512                    41.84
1024                   43.01
2048                   43.64
4096                   44.53
8192                   46.21
16384                  53.48
32768                  65.07
65536                  82.24
131072                132.68
262144                196.53
524288                345.36
1048576               647.91
