
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.19
8                      20.07
16                     19.93
32                     20.09
64                     20.19
128                    40.84
256                    41.39
512                    41.96
1024                   42.96
2048                   43.80
4096                   45.04
8192                   46.39
16384                  53.79
32768                  65.19
65536                  82.40
131072                133.72
262144                197.49
524288                344.32
1048576               647.44
