
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.55
8                      20.01
16                     19.89
32                     24.78
64                     20.15
128                    40.76
256                    41.08
512                    41.86
1024                   42.99
2048                   45.20
4096                   44.57
8192                   46.33
16384                  53.49
32768                  64.70
65536                  82.37
131072                134.45
262144                197.53
524288                350.27
1048576               647.93
