
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.35
8                      20.19
16                     20.01
32                     20.13
64                     20.13
128                    40.98
256                    41.32
512                    42.13
1024                   43.14
2048                   44.00
4096                   44.91
8192                   46.36
16384                  54.05
32768                  65.12
65536                  81.95
131072                132.65
262144                200.79
524288                345.35
1048576               646.91
