
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.22
8                      20.02
16                     19.98
32                     20.09
64                     20.27
128                    40.71
256                    41.63
512                    42.02
1024                   43.17
2048                   44.47
4096                   44.74
8192                   46.36
16384                  53.75
32768                  65.90
65536                  83.11
131072                133.21
262144                196.37
524288                346.95
1048576               647.30
