
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.18
8                      20.09
16                     20.06
32                     20.23
64                     20.29
128                    40.89
256                    41.38
512                    41.97
1024                   43.17
2048                   43.82
4096                   44.85
8192                   46.38
16384                  53.78
32768                  65.61
65536                  82.76
131072                134.50
262144                197.70
524288                348.66
1048576               649.59
