
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.43
8                      20.02
16                     20.06
32                     20.12
64                     20.07
128                    40.68
256                    41.19
512                    41.98
1024                   42.70
2048                   43.84
4096                   44.78
8192                   46.23
16384                  54.17
32768                  65.27
65536                  82.21
131072                133.08
262144                196.42
524288                346.11
1048576               648.73
