
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.14
8                      20.16
16                     20.05
32                     20.11
64                     20.10
128                    40.79
256                    41.23
512                    42.08
1024                   43.18
2048                   43.86
4096                   44.90
8192                   46.47
16384                  53.78
32768                  66.18
65536                  81.67
131072                132.42
262144                196.23
524288                347.90
1048576               651.13
