
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.25
8                      20.27
16                     20.07
32                     20.09
64                     20.30
128                    40.57
256                    41.34
512                    41.92
1024                   43.13
2048                   45.06
4096                   44.72
8192                   46.17
16384                  53.92
32768                  65.23
65536                  82.23
131072                133.40
262144                196.82
524288                345.90
1048576               651.11
