
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.47
8                      20.02
16                     20.01
32                     20.00
64                     20.23
128                    40.64
256                    41.40
512                    41.79
1024                   43.19
2048                   43.73
4096                   44.68
8192                   46.12
16384                  53.91
32768                  65.39
65536                  81.92
131072                133.02
262144                196.78
524288                347.95
1048576               659.16
