
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.20
8                      20.30
16                     19.95
32                     20.09
64                     20.08
128                    40.62
256                    41.39
512                    42.17
1024                   43.25
2048                   43.80
4096                   44.60
8192                   46.31
16384                  53.83
32768                  65.76
65536                  81.70
131072                132.64
262144                196.60
524288                347.57
1048576               647.37
