
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.28
8                      20.06
16                     20.01
32                     19.98
64                     20.19
128                    40.73
256                    41.45
512                    42.28
1024                   43.11
2048                   43.74
4096                   44.66
8192                   46.17
16384                  54.20
32768                  65.24
65536                  82.04
131072                133.40
262144                196.82
524288                350.46
1048576               648.80
