
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.24
8                      20.26
16                     19.99
32                     20.15
64                     20.18
128                    40.57
256                    41.32
512                    41.80
1024                   43.08
2048                   43.73
4096                   44.61
8192                   46.52
16384                  53.76
32768                  65.07
65536                  82.13
131072                133.42
262144                196.28
524288                345.30
1048576               647.38
