
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.18
8                      20.03
16                     20.09
32                     20.09
64                     20.16
128                    40.53
256                    41.52
512                    42.15
1024                   42.99
2048                   43.87
4096                   44.79
8192                   46.32
16384                  54.01
32768                  64.89
65536                  82.10
131072                133.44
262144                197.14
524288                347.27
1048576               645.39
