
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.20
8                      20.15
16                     19.98
32                     20.10
64                     20.21
128                    40.58
256                    41.36
512                    41.83
1024                   42.74
2048                   43.75
4096                   44.86
8192                   46.11
16384                  53.86
32768                  64.96
65536                  83.77
131072                133.82
262144                196.31
524288                347.27
1048576               653.34
