
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.21
8                      20.14
16                     20.07
32                     20.14
64                     20.24
128                    40.68
256                    41.38
512                    41.93
1024                   42.96
2048                   43.78
4096                   44.74
8192                   46.10
16384                  54.17
32768                  65.34
65536                  81.98
131072                132.32
262144                197.49
524288                346.41
1048576               646.90
