
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.31
8                      19.99
16                     20.03
32                     20.10
64                     20.12
128                    40.98
256                    41.38
512                    41.91
1024                   42.84
2048                   43.78
4096                   44.80
8192                   46.27
16384                  53.84
32768                  65.38
65536                  81.92
131072                132.29
262144                196.87
524288                346.50
1048576               649.21
