
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.23
8                      20.00
16                     19.97
32                     20.05
64                     20.04
128                    40.48
256                    41.12
512                    41.77
1024                   43.22
2048                   44.00
4096                   44.52
8192                   46.42
16384                  53.47
32768                  65.84
65536                  82.53
131072                132.16
262144                195.52
524288                346.57
1048576               645.54
