
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.22
8                      20.03
16                     20.15
32                     20.14
64                     20.08
128                    40.41
256                    41.29
512                    41.84
1024                   42.61
2048                   43.83
4096                   44.73
8192                   46.10
16384                  53.89
32768                  65.31
65536                  82.63
131072                133.29
262144                196.68
524288                345.91
1048576               651.34
