
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.28
8                      19.98
16                     20.04
32                     20.07
64                     20.14
128                    40.71
256                    41.10
512                    41.92
1024                   42.66
2048                   43.68
4096                   44.66
8192                   46.12
16384                  53.72
32768                  64.98
65536                  84.09
131072                133.42
262144                198.62
524288                345.99
1048576               646.40
