
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.36
8                      20.21
16                     19.98
32                     20.24
64                     20.11
128                    40.79
256                    41.33
512                    41.96
1024                   43.32
2048                   44.82
4096                   44.87
8192                   46.12
16384                  53.84
32768                  65.20
65536                  81.73
131072                134.39
262144                197.02
524288                350.49
1048576               650.02
