
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.22
8                      20.21
16                     20.09
32                     20.13
64                     20.22
128                    40.70
256                    41.47
512                    41.83
1024                   43.03
2048                   43.81
4096                   44.67
8192                   46.33
16384                  53.82
32768                  65.78
65536                  81.83
131072                138.00
262144                199.09
524288                346.43
1048576               647.80
