
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.19
8                      20.14
16                     20.20
32                     20.16
64                     20.19
128                    40.81
256                    41.49
512                    42.04
1024                   43.09
2048                   43.74
4096                   44.79
8192                   46.24
16384                  54.10
32768                  65.16
65536                  82.51
131072                134.10
262144                197.35
524288                347.30
1048576               649.29
