
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.52
8                      20.03
16                     21.51
32                     20.31
64                     20.18
128                    41.11
256                    42.75
512                    42.69
1024                   43.86
2048                   44.23
4096                   46.10
8192                   46.93
16384                  56.27
32768                  66.39
65536                  84.88
131072                136.39
262144                203.82
524288                353.84
1048576               666.04
