
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.40
8                      20.45
16                     20.01
32                     23.72
64                     20.95
128                    42.20
256                    41.75
512                    43.27
1024                   44.43
2048                   44.05
4096                   45.19
8192                   46.60
16384                  54.13
32768                  66.33
65536                  82.86
131072                134.98
262144                209.19
524288                351.51
1048576               648.68
