
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.58
8                      20.70
16                     21.16
32                     20.61
64                     20.56
128                    41.55
256                    43.43
512                    42.97
1024                   44.56
2048                   44.97
4096                   46.86
8192                   47.44
16384                  55.25
32768                  67.62
65536                  86.17
131072                135.58
262144                203.67
524288                354.30
1048576               682.85
