
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.40
8                      20.09
16                     20.69
32                     20.37
64                     20.28
128                    40.88
256                    41.52
512                    42.11
1024                   43.31
2048                   47.70
4096                   49.83
8192                   46.54
16384                  54.48
32768                  73.86
65536                 100.98
131072                157.94
262144                214.90
524288                348.24
1048576               658.29
