
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.54
8                      22.40
16                     22.53
32                     25.29
64                     27.63
128                    43.23
256                    41.92
512                    42.53
1024                   44.05
2048                   45.17
4096                   45.77
8192                   49.99
16384                  57.02
32768                  66.98
65536                  85.00
131072                138.92
262144                206.74
524288                363.45
1048576               663.17
