
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.73
8                      20.53
16                     20.99
32                     20.18
64                     20.93
128                    40.85
256                    41.44
512                    42.09
1024                   43.28
2048                   43.91
4096                   45.04
8192                   50.95
16384                  54.17
32768                  66.32
65536                  82.04
131072                135.15
262144                208.63
524288                357.85
1048576               690.68
