
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.25
8                      21.61
16                     20.08
32                     20.18
64                     20.26
128                    41.46
256                    41.77
512                    43.74
1024                   44.18
2048                   44.64
4096                   45.95
8192                   47.09
16384                  54.77
32768                  65.52
65536                  81.64
131072                135.86
262144                198.24
524288                349.54
1048576               659.81
