
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.58
8                      20.60
16                     20.46
32                     20.54
64                     21.39
128                    42.43
256                    42.01
512                    43.64
1024                   44.00
2048                   44.88
4096                   45.72
8192                   47.30
16384                  54.81
32768                  66.49
65536                  83.49
131072                133.74
262144                202.98
524288                347.25
1048576               670.17
