
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.77
8                      20.77
16                     20.23
32                     20.75
64                     20.42
128                    41.05
256                    43.23
512                    42.39
1024                   45.10
2048                   44.43
4096                   45.27
8192                   48.39
16384                  55.09
32768                  66.48
65536                  83.04
131072                135.81
262144                202.75
524288                354.65
1048576               666.70
