
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.51
8                      20.71
16                     20.74
32                     20.10
64                     20.48
128                    42.15
256                    41.73
512                    42.24
1024                   43.15
2048                   43.86
4096                   44.98
8192                   47.02
16384                  53.95
32768                  66.79
65536                  82.03
131072                137.79
262144                204.18
524288                355.01
1048576               661.76
