
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.43
8                      20.04
16                     20.07
32                     20.40
64                     20.41
128                    40.93
256                    51.46
512                    49.75
1024                   49.12
2048                   44.51
4096                   45.30
8192                   47.76
16384                  56.40
32768                  67.69
65536                  86.03
131072                137.71
262144                220.50
524288                356.31
1048576               665.59
