
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.66
8                      20.30
16                     20.55
32                     20.50
64                     20.33
128                    42.43
256                    41.90
512                    42.86
1024                   46.13
2048                   48.06
4096                   45.70
8192                   47.21
16384                  55.87
32768                  66.68
65536                  85.69
131072                139.77
262144                223.13
524288                356.34
1048576               671.80
