
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.77
8                      20.53
16                     20.37
32                     20.65
64                     20.67
128                    41.71
256                    42.39
512                    42.77
1024                   44.08
2048                   46.01
4096                   45.94
8192                   48.67
16384                  54.90
32768                  66.74
65536                  84.78
131072                137.78
262144                204.54
524288                352.45
1048576               662.00
