
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.26
8                      21.00
16                     20.33
32                     20.57
64                     24.44
128                    41.55
256                    41.89
512                    42.37
1024                   43.55
2048                   44.37
4096                   45.33
8192                   46.93
16384                  55.54
32768                  76.72
65536                  83.66
131072                132.54
262144                202.14
524288                353.17
1048576               681.59
