
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.96
8                      21.43
16                     20.39
32                     20.48
64                     20.89
128                    41.51
256                    43.41
512                    43.33
1024                   43.81
2048                   46.32
4096                   62.52
8192                   47.03
16384                  54.81
32768                  66.54
65536                  84.96
131072                134.67
262144                201.07
524288                356.63
1048576               662.89
