
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.85
8                      20.44
16                     20.25
32                     20.34
64                     20.45
128                    41.00
256                    42.16
512                    42.62
1024                   43.67
2048                   44.73
4096                   45.85
8192                   47.27
16384                  54.60
32768                  66.51
65536                  83.32
131072                135.85
262144                201.16
524288                356.90
1048576               651.24
