
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.54
8                      20.52
16                     20.25
32                     20.74
64                     20.58
128                    41.57
256                    41.79
512                    47.50
1024                   44.64
2048                   44.40
4096                   45.41
8192                   46.98
16384                  55.64
32768                  66.03
65536                  82.91
131072                140.06
262144                212.77
524288                357.53
1048576               693.74
