
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.81
8                      20.21
16                     20.09
32                     20.14
64                     20.23
128                    40.53
256                    41.60
512                    43.65
1024                   47.36
2048                   43.73
4096                   50.26
8192                   54.26
16384                  54.90
32768                  65.75
65536                  82.94
131072                144.26
262144                198.13
524288                349.56
1048576               658.10
