
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.63
8                      20.52
16                     20.44
32                     21.32
64                     20.90
128                    41.55
256                    42.96
512                    42.90
1024                   45.55
2048                   44.78
4096                   45.50
8192                   46.83
16384                  54.88
32768                  66.23
65536                  84.36
131072                135.44
262144                230.03
524288                365.02
1048576               651.34
