Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     185.14
8                     181.47
16                    176.85
32                    204.13
64                    206.56
128                   189.87
256                   186.15
512                   180.07
1024                  211.24
2048                  152.18
4096                  258.42
8192                  284.65
16384                 327.78
32768                 371.90
65536                 403.68
131072                479.31
262144                826.23
524288               1974.89
1048576              2503.67
