Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.68
1                      12.72
2                      12.71
4                      12.70
8                      13.01
16                     13.02
32                     13.04
64                     13.18
128                    13.18
256                    13.22
512                    13.27
1024                   13.41
2048                   13.74
4096                   14.69
8192                   16.54
16384                  17.20
32768                  18.47
65536                  21.00
131072                 53.57
262144                 63.54
524288                112.71
1048576                95.24
2097152               170.54
4194304               266.17
