Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     137.61
8                     142.97
16                    145.98
32                    142.91
64                    150.90
128                   141.77
256                   147.81
512                   146.17
1024                  146.88
2048                  153.71
4096                  169.34
8192                  206.62
16384                 209.80
32768                 278.60
65536                 324.96
131072                999.25
262144                702.43
524288               1275.90
1048576              2156.66
