Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      13.48
1                      13.51
2                      13.49
4                      13.49
8                      13.81
16                     13.81
32                     13.82
64                     13.93
128                    13.95
256                    13.97
512                    14.04
1024                   14.21
2048                   14.58
4096                   15.53
8192                   17.65
16384                  18.25
32768                  19.46
65536                  21.90
131072                 56.28
262144                 66.48
524288                117.30
1048576                97.86
2097152               168.32
4194304               270.00
