Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      71.47
8                      66.78
16                     69.91
32                     68.57
64                     73.55
128                    72.89
256                    81.32
512                    70.33
1024                   70.60
2048                   75.42
4096                  119.92
8192                  133.92
16384                 166.56
32768                 239.68
65536                 412.60
131072                889.64
262144                653.85
524288               1157.54
1048576              2125.65
