Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.34
1                      10.36
2                      10.35
4                      10.35
8                      10.66
16                     10.66
32                     10.67
64                     10.79
128                    10.82
256                    10.82
512                    10.88
1024                   11.00
2048                   11.29
4096                   11.84
8192                   13.06
16384                  13.69
32768                  14.87
65536                  17.51
131072                 44.07
262144                 54.18
524288                 97.30
1048576                87.02
2097152               163.87
4194304               255.14
