Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.45
2                       3.05
4                       6.21
8                      12.37
16                     24.70
32                     49.44
64                     92.51
128                   184.85
256                   366.05
512                   718.95
1024                 1339.84
2048                 2294.83
4096                 3904.73
8192                 6572.65
16384                8058.82
32768                9903.42
65536               10742.51
131072              13474.18
262144              13790.20
524288              13937.58
1048576             23564.64
2097152             23911.67
4194304             24152.98
