Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.34
2                       2.79
4                       5.69
8                      11.39
16                     22.73
32                     45.44
64                     84.83
128                   169.24
256                   336.38
512                   658.41
1024                 1241.87
2048                 2154.11
4096                 3670.75
8192                 6225.45
16384                7919.45
32768                9515.94
65536               11467.20
131072              13396.85
262144              13739.16
524288              13968.57
1048576             23390.64
2097152             23815.17
4194304             24141.83
