Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     129.54
8                     134.33
16                    130.27
32                    127.26
64                    133.70
128                   140.77
256                   146.25
512                   136.82
1024                  141.22
2048                  155.35
4096                  158.42
8192                  184.14
16384                 210.43
32768                 269.00
65536                 348.91
131072                993.70
262144                728.06
524288               1233.51
1048576              2116.17
