Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.77
1                      12.79
2                      12.77
4                      12.77
8                      13.09
16                     13.10
32                     13.12
64                     13.25
128                    13.26
256                    13.29
512                    13.33
1024                   13.48
2048                   13.81
4096                   14.76
8192                   16.62
16384                  17.28
32768                  18.50
65536                  21.07
131072                 53.68
262144                 63.88
524288                112.82
1048576                95.56
2097152               168.72
4194304               264.29
