Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     127.04
8                     136.97
16                    126.65
32                    127.97
64                    148.37
128                   141.42
256                   130.97
512                   136.06
1024                  134.55
2048                  141.53
4096                  158.52
8192                  210.08
16384                 203.94
32768                 270.24
65536                 379.05
131072                987.88
262144                699.00
524288               1302.03
1048576              2354.58
