Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     163.06
8                     172.99
16                    177.04
32                    182.45
64                    178.35
128                   174.93
256                   174.28
512                   192.89
1024                  203.90
2048                  248.77
4096                  325.76
8192                  280.43
16384                 282.63
32768                 310.13
65536                 321.70
131072                508.43
262144                688.54
524288               1290.20
1048576              2232.87
