Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     154.65
8                     163.54
16                    155.18
32                    152.36
64                    158.73
128                   168.03
256                   157.02
512                   159.55
1024                  155.26
2048                  182.59
4096                  227.30
8192                  323.72
16384                 267.02
32768                 269.06
65536                 316.11
131072                442.66
262144                797.60
524288               1265.25
1048576              2322.08
