Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    1242.85
8                    1200.22
16                    924.13
32                    725.01
64                    751.75
128                   754.78
256                  1138.64
512                  1406.26
1024                  739.71
2048                 1148.93
4096                 1078.92
8192                 1207.52
16384                1687.70
32768                2268.88
65536                2094.19
131072               2593.81
262144               4066.04
524288               8185.36
1048576              9288.13
