Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.37
2                       2.83
4                       5.75
8                      11.44
16                     22.88
32                     45.54
64                     85.34
128                   169.81
256                   339.52
512                   662.19
1024                 1246.46
2048                 2149.50
4096                 3762.16
8192                 6170.30
16384                7791.02
32768                9886.43
65536               11149.00
131072              13427.09
262144              13789.87
524288              13949.18
1048576             23391.69
2097152             23799.24
4194304             24130.37
