Defaulted container "flux-osu-efa" out of: flux-osu-efa, flux-view (init)
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.33
2                       2.73
4                       5.74
8                      11.43
16                     23.04
32                     45.81
64                     84.92
128                   170.08
256                   336.76
512                   663.10
1024                 1245.73
2048                 2155.90
4096                 3761.24
8192                 6186.09
16384                7720.01
32768                9572.71
65536               11137.45
131072              13396.90
262144              13712.14
524288              13901.21
1048576             23417.06
2097152             23821.17
4194304             24116.75
